!TDMS	3332511000310030_calbase_23y11m8d10h11m20s.tdms
!File	IFCalData
!Builder	CalStudio 1.0.1
!Time	2023/11/8 11:01
!Model	023
!APIVersion	14087
*IFGainAnalogIFBWGradeSize	2
*IFGainIFGainGradeSize	4
*IFGainTraceNumber	3
*IFGain_Temperature_T0	3035
*IFGain_Temperature_T1	4928
*IFGain_Temperature_T2	6920
#IFGain_T0	IFGain_T1	IFGain_T2	
-5.8674469	-5.8154144	-5.7423706	
-3.0293732	-2.9991913	-2.9621887	
0.0000000	0.0000000	0.0000000	
2.6687317	2.6716003	2.6755829	
-5.2109985	-5.4007568	-5.4877167	
-2.4039001	-2.6132965	-2.7164459	
0.6097412	0.3716278	0.2351990	
3.3041077	3.0749969	2.9465485	
*IF1STFrequency		3450000000	2079000000	0	0	0	0	0	0
*IF2NDFrequency		311000000	305000000	0	0
*IQSampleRate	122880000
*IF1STBandNumber	2
*IF2NDBandNumber	2
*IF1STRespTraceNumber	6
*IF2NDRespTraceNumber	6
*IF1ST_Temperature_T0B0	3037
*IF1ST_Temperature_T0B1	3037
*IF1ST_Temperature_T1B0	4917
*IF1ST_Temperature_T1B1	4917
*IF1ST_Temperature_T2B0	6952
*IF1ST_Temperature_T2B1	6952
*IF2ND_Temperature_T0B0	3079
*IF2ND_Temperature_T0B1	3079
*IF2ND_Temperature_T1B0	4967
*IF2ND_Temperature_T1B1	4967
*IF2ND_Temperature_T2B0	6913
*IF2ND_Temperature_T2B1	6913
*BandPoints	2048
#IF1ST_T0B0	IF1ST_T0B1	IF1ST_T1B0	IF1ST_T1B1	IF1ST_T2B0	IF1ST_T2B1	IF2ND_T0B0	IF2ND_T0B1	IF2ND_T1B0	IF2ND_T1B1	IF2ND_T2B0	IF2ND_T2B1	
1.0738605	1.0472041	1.0654207	1.0494123	1.0562472	1.0623705	1.1954741	1.1167729	1.1663172	1.1098289	1.1441796	1.1033458	
1.0734984	1.0474070	1.0651835	1.0495510	1.0559448	1.0629600	1.1936657	1.1163595	1.1633532	1.1096096	1.1451644	1.1030958	
1.0731363	1.0476099	1.0649463	1.0496898	1.0556425	1.0635498	1.1918601	1.1159463	1.1603967	1.1093904	1.1461501	1.1028458	
1.0729535	1.0476292	1.0646807	1.0500083	1.0553087	1.0641090	1.1883790	1.1157125	1.1593249	1.1091098	1.1462795	1.1024148	
1.0727707	1.0476485	1.0644152	1.0503271	1.0549750	1.0646685	1.1849082	1.1154788	1.1582541	1.1088293	1.1464088	1.1019840	
1.0725878	1.0476679	1.0641496	1.0506458	1.0546415	1.0652285	1.1814474	1.1152451	1.1571844	1.1085488	1.1465383	1.1015533	
1.0724051	1.0476872	1.0638843	1.0509647	1.0543081	1.0657885	1.1779968	1.1150116	1.1561155	1.1082684	1.1466676	1.1011229	
1.0720887	1.0477930	1.0635203	1.0514619	1.0540483	1.0661420	1.1759219	1.1145508	1.1557450	1.1079043	1.1471895	1.1009672	
1.0717723	1.0478989	1.0631565	1.0519594	1.0537887	1.0664955	1.1738508	1.1140903	1.1553745	1.1075404	1.1477116	1.1008115	
1.0714561	1.0480047	1.0627929	1.0524571	1.0535290	1.0668492	1.1717832	1.1136299	1.1550041	1.1071767	1.1482339	1.1006558	
1.0711399	1.0481106	1.0624293	1.0529550	1.0532695	1.0672030	1.1697193	1.1131698	1.1546339	1.1068130	1.1487565	1.1005002	
1.0707222	1.0482879	1.0620714	1.0533504	1.0528588	1.0676962	1.1693398	1.1129601	1.1533107	1.1065038	1.1512293	1.1001402	
